timestamp,rotationRoll,rotationPitch,direction
2025-02-17 01:27:26.579357,-31.0,22.0,155.0
2025-02-17 01:27:27.583564,2.0,19.0,159.0
2025-02-17 01:27:27.590480,7.0,34.0,154.0
2025-02-17 01:27:27.606495,5.0,31.0,162.0
2025-02-17 01:27:27.608507,1.0,36.0,161.0
2025-02-17 01:27:27.623003,0.0,38.0,158.0
2025-02-17 01:27:27.627002,0.0,36.0,158.0
2025-02-17 01:27:28.645419,-3.0,39.0,160.0
2025-02-17 01:27:28.655832,5.0,37.0,160.0
2025-02-17 01:27:28.670962,15.0,44.0,163.0
2025-02-17 01:27:28.672963,18.0,36.0,173.0
2025-02-17 01:27:28.684964,19.0,29.0,176.0
2025-02-17 01:27:28.686964,16.0,28.0,176.0
2025-02-17 01:27:29.694951,16.0,27.0,176.0
2025-02-17 01:27:29.701875,21.0,27.0,177.0
2025-02-17 01:27:29.718345,25.0,27.0,178.0
2025-02-17 01:27:29.720344,29.0,25.0,181.0
2025-02-17 01:27:29.722345,29.0,22.0,181.0
2025-02-17 01:27:29.748546,29.0,15.0,179.0
2025-02-17 01:27:30.765773,29.0,19.0,181.0
2025-02-17 01:27:30.776773,31.0,21.0,181.0
2025-02-17 01:27:30.789772,32.0,18.0,181.0
2025-02-17 01:27:30.792205,31.0,19.0,181.0
2025-02-17 01:27:30.804221,31.0,22.0,179.0
